nb_suburb,nb_postcode,nb_state,SA1,SA2,SA3,SA4,MMM
Loganlea,4131,QLD,Marsden,Kingston (Qld),Springwood - Kingston,Logan - Beaudesert,1
Lilydale,3140,VIC,Mooroolbark,Mooroolbark,Yarra Ranges,Melbourne - Outer East,1
Karrinyup,6018,WA,Woodlands (WA),Wembley Downs - Churchlands - Woodlands,Stirling,Perth - North West,1
Broadview,5083,SA,Sefton Park,Enfield - Blair Athol,Port Adelaide - East,Adelaide - North,1
Canadian,3350,VIC,Redan,Sebastopol - Redan,Ballarat,Ballarat,2
Harden,2587,NSW,Harden,Young Surrounds,Goulburn - Yass,Capital Region,5
Mount Osmond,5064,SA,Urrbrae,Mitcham (SA),Mitcham,Adelaide - South,1
McKellar,2617,ACT,O'Connor (ACT),O'Connor (ACT),North Canberra,Australian Capital Territory,1
Safety Beach,3936,VIC,Dromana,Dromana,Mornington Peninsula,Mornington Peninsula,1
Wallan,3756,VIC,Darraweit Guim,Romsey,Macedon Ranges,Melbourne - North West,1
Hamilton,2303,NSW,The Junction,Merewether - The Junction,Newcastle,Newcastle and Lake Macquarie,1
Harrisdale,6112,WA,Piara Waters,Piara Waters - Forrestdale,Gosnells,Perth - South East,1
Bomaderry,2541,NSW,South Nowra,Nowra,Shoalhaven,Southern Highlands and Shoalhaven,3
Gowrie Junction,4352,QLD,Gowrie Junction,Toowoomba - West,Toowoomba,Toowoomba,2
Balcatta,6021,WA,Stirling (WA),Stirling - Osborne Park,Stirling,Perth - North West,1
Sunrise Beach,4567,QLD,Sunshine Beach,Sunshine Beach,Noosa,Sunshine Coast,1
Crows Nest,2065,NSW,Wollstonecraft,Crows Nest - Waverton,North Sydney - Mosman,Sydney - North Sydney and Hornsby,1
Aveley,6069,WA,Ellenbrook,Ellenbrook,Swan,Perth - North East,1
Heidelberg Heights,3081,VIC,Heidelberg Heights,Heidelberg West,Banyule,Melbourne - North East,1
