nb_suburb,nb_postcode,nb_state,SA1,SA2,SA3,SA4,MMM
Oakford,6121,WA,Oakford,Mundijong,Serpentine - Jarrahdale,Perth - South East,1
Pennant Hills,2120,NSW,Pennant Hills,Pennant Hills - Cheltenham,Pennant Hills - Epping,Sydney - Ryde,1
Paradise,5075,SA,Dernancourt,Highbury - Dernancourt,Tea Tree Gully,Adelaide - North,1
Joyner,4500,QLD,Brendale,Strathpine - Brendale,Strathpine,Moreton Bay - South,1
Plumpton,3335,VIC,Plumpton (Vic.),Fraser Rise - Plumpton,Melton - Bacchus Marsh,Melbourne - West,1
Stawell,3380,VIC,Stawell,Stawell,Grampians,North West,4
Meadow Springs,6210,WA,Dudley Park (WA),Mandurah - South,Mandurah,Mandurah,1
Fitzroy,3065,VIC,Fitzroy North,Fitzroy North,Yarra,Melbourne - Inner,1
Nagambie,3608,VIC,Nagambie,Nagambie,Shepparton,Shepparton,5
South Launceston,7249,TAS,Youngtown,Youngtown - Relbia,Launceston,Launceston and North East,2
Bulli,2516,NSW,Bulli,Woonona - Bulli - Russell Vale,Wollongong,Illawarra,1
Warradale,5046,SA,Oaklands Park,Warradale,Marion,Adelaide - South,1
Baskerville,6083,WA,Morangup,Toodyay,Wheat Belt - North,Western Australia - Wheat Belt,5
Glenning Valley,2261,NSW,Tuggerah,Tuggerah - Kangy Angy,Wyong,Central Coast,1
Binnaway,2395,NSW,Yarragrin,Coonabarabran,Dubbo,Far West and Orana,5
Essendon North,3041,VIC,Strathmore (Vic.),Strathmore,Moreland - North,Melbourne - North West,1
Maroochy River,4561,QLD,Bridges,Eumundi - Yandina,Nambour - Pomona,Sunshine Coast,1
Kingaroy,4610,QLD,Wengenville,Nanango,Burnett,Wide Bay,4
Vale Park,5081,SA,Walkerville (SA),Walkerville,Prospect - Walkerville,Adelaide - Central and Hills,1
North Geelong,3215,VIC,Lovely Banks,Corio - Lovely Banks,Geelong,Geelong,1
Ashburton,3147,VIC,Ashwood,Ashwood - Chadstone,Monash,Melbourne - South East,1
St Marys,2760,NSW,St Marys (NSW),St Marys - North St Marys,St Marys,Sydney - Outer West and Blue Mountains,1
Thirlmere,2572,NSW,Thirlmere,Picton - Tahmoor - Buxton,Wollondilly,Sydney - Outer South West,5
Melville,6156,WA,Willagee,Willagee,Melville,Perth - South West,1
Milton,4064,QLD,Red Hill (Brisbane - Qld),Red Hill (Qld),Brisbane Inner - West,Brisbane Inner City,1
Chain Valley Bay,2259,NSW,Lake Macquarie,Wangi Wangi - Rathmines,Lake Macquarie - West,Newcastle and Lake Macquarie,1
Calamvale,4116,QLD,Drewvale,Parkinson - Drewvale,Sunnybank,Brisbane - South,1
Merrylands,2160,NSW,Parramatta,Parramatta - South,Parramatta,Sydney - Parramatta,1
Huntingdale,6110,WA,Martin,Maddington - Orange Grove - Martin,Gosnells,Perth - South East,1
Abercrombie,2795,NSW,Ophir,Orange Surrounds,Orange,Central West,3
Kilaben Bay,2283,NSW,West Wallsend,West Wallsend - Barnsley - Killingworth,Lake Macquarie - West,Newcastle and Lake Macquarie,1
Duncraig,6023,WA,Sorrento (WA),Duncraig,Joondalup,Perth - North West,1
Waddy Forest,6515,WA,Coorow,Morawa,Mid West,Western Australia - Outback,6
Aberdare,2325,NSW,Putty,Singleton Surrounds,Lower Hunter,Hunter Valley exc Newcastle,3
Doolandella,4077,QLD,Inala,Forest Lake - Ellen Grove,Forest Lake - Oxley,Ipswich,1
Eaton,6232,WA,Eaton (WA),Eaton - Pelican Point,Bunbury,Bunbury,2
Fern Tree,7054,TAS,Wellington Park,Derwent Valley,Huon - Bruny Island,South East,2
Bundaberg South,4670,QLD,Walkervale,Walkervale - Avenell Heights,Burnett,Wide Bay,2
Seaton,5023,SA,Seaton (SA),Seaton - Grange,Charles Sturt,Adelaide - West,1
Craigmore,5114,SA,Greenwith,Golden Grove,Barossa,Barossa - Yorke - Mid North,1
Kinglake West,3757,VIC,Whittlesea,Whittlesea,Whittlesea - Wallan,Melbourne - North East,5
Geraldton,6530,WA,Houtman Abrolhos,Northampton - Mullewa - Greenough,Mid West,Western Australia - Outback,3
Keperra,4054,QLD,Ferny Hills,The Hills District,Hills District,Moreton Bay - South,1
Forestville,5035,SA,Mile End South,Richmond (SA),West Torrens,Adelaide - West,1
Northbridge,2063,NSW,Northbridge (NSW),Castle Cove - Northbridge,Chatswood - Lane Cove,Sydney - North Sydney and Hornsby,1
Whittington,3219,VIC,Newcomb,Newcomb - Moolap,Geelong,Geelong,1
Aldinga Beach,5173,SA,Aldinga Beach,Aldinga,Onkaparinga,Adelaide - South,1
Port Hacking,2229,NSW,Woolooware,Woolooware - Burraneer,Cronulla - Miranda - Caringbah,Sydney - Sutherland,1
Madora Bay,6210,WA,Dudley Park (WA),Mandurah - South,Mandurah,Mandurah,1
Pagewood,2035,NSW,Maroubra,Maroubra - West,Eastern Suburbs - South,Sydney - Eastern Suburbs,1
west Hobart,7000,TAS,West Hobart,West Hobart,Hobart Inner,Hobart,2
Broadbeach,4218,QLD,Mermaid Waters,Mermaid Waters,Surfers Paradise,Gold Coast,1
Munno Para,5115,SA,Munno Para,Smithfield - Elizabeth North,Playford,Adelaide - North,1
Enfield,5085,SA,Northfield,Northgate - Northfield,Port Adelaide - East,Adelaide - North,1
Maryborough,4650,QLD,Tinana,Tinana,Maryborough,Wide Bay,3
Prestons,2170,NSW,Prestons,Prestons,Liverpool,Sydney - South West,1
Lower Beechmont,4211,QLD,Pacific Pines,Pacific Pines - Gaven,Robina,Gold Coast,2
Epsom,3551,VIC,Toolleen,Rushworth,Campaspe,Shepparton,2
South Toowoomba,4350,QLD,Cranley,Wilsonton,Toowoomba,Toowoomba,2
Svensson Heights,4670,QLD,Walkervale,Walkervale - Avenell Heights,Burnett,Wide Bay,2
Wilston,4051,QLD,Enoggera,Ashgrove,Brisbane Inner - West,Brisbane Inner City,1
Bedford,6052,WA,Bedford,Bayswater - Embleton - Bedford,Stirling,Perth - North West,1
Sunshine Beach,4567,QLD,Sunshine Beach,Sunshine Beach,Noosa,Sunshine Coast,1
Romsey,3434,VIC,Romsey,Romsey,Macedon Ranges,Melbourne - North West,5
Salisbury,5108,SA,Salisbury North,Salisbury North,Salisbury,Adelaide - North,1
Williamstown,3016,VIC,Williamstown (Vic.),Williamstown,Hobsons Bay,Melbourne - West,1
Belfield,2191,NSW,Belfield,Belmore - Belfield,Strathfield - Burwood - Ashfield,Sydney - Inner West,1
Macclesfield,5153,SA,Strathalbyn (SA),Strathalbyn,Fleurieu - Kangaroo Island,South Australia - South East,3
Smithfield,4878,QLD,Yorkeys Knob,Yorkeys Knob - Machans Beach,Cairns - North,Cairns,2
Catherine Field,2570,NSW,Oran Park,Oran Park,Bringelly - Green Valley,Sydney - South West,1
Beacon Hill,2100,NSW,Oxford Falls,Frenchs Forest - Oxford Falls,Warringah,Sydney - Northern Beaches,1
Oakleigh East,3166,VIC,Oakleigh,Oakleigh - Huntingdale,Monash,Melbourne - South East,1
St James,6102,WA,St James (WA),Bentley - Wilson - St James,Canning,Perth - South East,1
Dianella,6059,WA,Dianella,Dianella - South,Stirling,Perth - North West,1
Liverpool,2170,NSW,Prestons,Prestons,Liverpool,Sydney - South West,1
Flinders View,4305,QLD,Raceview,Ripley,Ipswich Inner,Ipswich,1
Lathlain,6100,WA,Burswood,Victoria Park - Lathlain - Burswood,Belmont - Victoria Park,Perth - South East,1
Carwoola,2620,NSW,ACT Remainder - Rendezvous Creek,Namadgi,Tuggeranong,Australian Capital Territory,2
Hinchinbrook,2168,NSW,Cartwright,Lurnea - Cartwright,Liverpool,Sydney - South West,1
Bauple,4650,QLD,Tinana,Tinana,Maryborough,Wide Bay,5
Burdell,4818,QLD,Deeragun,Deeragun - Jensen,Townsville,Townsville,2
Plympton Park,5038,SA,Camden Park (SA),Plympton,West Torrens,Adelaide - West,1
Hackett,2602,ACT,Watson,Watson,North Canberra,Australian Capital Territory,1
Church Point,2105,NSW,Morning Bay,Bayview - Elanora Heights,Pittwater,Sydney - Northern Beaches,1
Winslow,3281,VIC,Bushfield,Warrnambool - North,Warrnambool - Otway Ranges,Warrnambool and South West,3
Hamilton Hill,6163,WA,Kardinya,Murdoch - Kardinya,Melville,Perth - South West,1
St Kilda East,3183,VIC,St Kilda East,Caulfield - North,Glen Eira,Melbourne - Inner South,1
Helensburgh,2508,NSW,Coalcliff,Thirroul - Austinmer - Coalcliff,Wollongong,Illawarra,1
Glenside,5065,SA,Glenside,Toorak Gardens,Burnside,Adelaide - Central and Hills,1
Darlington,2008,NSW,Chippendale,Chippendale,Sydney Inner City,Sydney - City and Inner South,1
Oaklands Park,5046,SA,Oaklands Park,Warradale,Marion,Adelaide - South,1
Knoxfield,3180,VIC,Rowville,Rowville - North,Knox,Melbourne - Outer East,1
Salisbury North,5108,SA,Salisbury North,Salisbury North,Salisbury,Adelaide - North,1
Nairne,5252,SA,Nairne,Nairne,Murray and Mallee,South Australia - South East,3
West End,4101,QLD,West End (Brisbane - Qld),West End,Brisbane Inner,Brisbane Inner City,1
Hunters Hill,2110,NSW,Hunters Hill,Hunters Hill - Woolwich,Ryde - Hunters Hill,Sydney - Ryde,1
Hornsby,2077,NSW,Waitara,Wahroonga (West) - Waitara,Hornsby,Sydney - North Sydney and Hornsby,1
Kings Beach,4551,QLD,Meridan Plains,Meridan Plains - Little Mountain (North),Sunshine Coast Hinterland,Sunshine Coast,1
Walkervale,4670,QLD,Walkervale,Walkervale - Avenell Heights,Burnett,Wide Bay,2
Stirling,6021,WA,Stirling (WA),Stirling - Osborne Park,Stirling,Perth - North West,1
Bexley North,2207,NSW,Bexley,Bexley - South,Kogarah - Rockdale,Sydney - Inner South West,1
Como,2226,NSW,Sutherland (NSW),Sutherland - Kirrawee,Sutherland - Menai - Heathcote,Sydney - Sutherland,1
Box Hill,3128,VIC,Box Hill (Vic.),Box Hill,Whitehorse - West,Melbourne - Inner East,1
Charmhaven,2263,NSW,Woongarrah,Warnervale - Wadalba,Wyong,Central Coast,1
Baringa,4551,QLD,Meridan Plains,Meridan Plains - Little Mountain (North),Sunshine Coast Hinterland,Sunshine Coast,1
East Corrimal,2518,NSW,East Corrimal,Corrimal - Tarrawanna - Bellambi,Wollongong,Illawarra,1
Willoughby East,2068,NSW,Willoughby (NSW),Willoughby,Chatswood - Lane Cove,Sydney - North Sydney and Hornsby,1
Hillvue,2340,NSW,Moore Creek,Tamworth Surrounds,Tamworth - Gunnedah,New England and North West,3
Yoogali,2680,NSW,Tharbogang,Griffith Surrounds,Griffith - Murrumbidgee (West),Riverina,3
Deebing Heights,4306,QLD,Ripley,Ripley,Burnett,Wide Bay,1
South Brisbane,4101,QLD,West End (Brisbane - Qld),West End,Brisbane Inner,Brisbane Inner City,1
Malua Bay,2536,NSW,South Durras,Eurobodalla Hinterland,Shoalhaven,Southern Highlands and Shoalhaven,4
Portarlington,3223,VIC,St Leonards (Vic.),Portarlington,Surf Coast - Bellarine Peninsula,Geelong,4
Cessnock,2325,NSW,Putty,Singleton Surrounds,Lower Hunter,Hunter Valley exc Newcastle,3
Adelong,2729,NSW,Tumblong,Gundagai,Wagga Wagga,Riverina,5
Blackwood,5051,SA,Coromandel Valley,Coromandel Valley,Onkaparinga,Adelaide - South,1
Russell Lea,2046,NSW,Chiswick,Five Dock - Abbotsford,Strathfield - Burwood - Ashfield,Sydney - Inner West,1
St Andrews,3761,VIC,St Andrews (Vic.),Panton Hill - St Andrews,Nillumbik - Kinglake,Melbourne - North East,2
Crafers West,5152,SA,Leawood Gardens,Belair,Mitcham,Adelaide - South,1
Banksia,2216,NSW,Rockdale,Rockdale - Banksia,Kogarah - Rockdale,Sydney - Inner South West,1
Sydenham,3037,VIC,Hillside (Melton - Vic.),Hillside,Melton - Bacchus Marsh,Melbourne - West,1
Brookfield,3338,VIC,Wyndham Vale,Wyndham Vale - North,Wyndham,Melbourne - West,1
Miranda,2228,NSW,Miranda (NSW),Caringbah,Cronulla - Miranda - Caringbah,Sydney - Sutherland,1
Middle Park,3206,VIC,Melbourne,Albert Park,Port Phillip,Melbourne - Inner,1
Newtown,4350,QLD,Cranley,Wilsonton,Toowoomba,Toowoomba,2
Rock Flat,2630,NSW,Paupong,Jindabyne - Berridale,Snowy Mountains,Capital Region,5
Mosman Park,6012,WA,Mosman Park (WA),Mosman Park - Peppermint Grove,Cottesloe - Claremont,Perth - Inner,1
Point Piper,2027,NSW,Darling Point,Double Bay - Darling Point,Eastern Suburbs - North,Sydney - Eastern Suburbs,1
Blackmans Bay,7052,TAS,Blackmans Bay,Kingston Beach - Blackmans Bay,Hobart - South and West,Hobart,2
Zuccoli,832,NT,Rosebery (NT),Rosebery - Bellamack,Palmerston,Darwin,2
Shoalwater,6169,WA,Warnbro,Warnbro,Rockingham,Perth - South West,1
Waugh Pocket,4871,QLD,West Wellesley Islands,Carpentaria,Outback - North,Queensland - Outback,5
Bowral,2576,NSW,Glenquarry,Robertson - Fitzroy Falls,Southern Highlands,Southern Highlands and Shoalhaven,3
Burraneer,2230,NSW,Woolooware,Woolooware - Burraneer,Sutherland - Menai - Heathcote,Sydney - Sutherland,1
Woronora Heights,2233,NSW,Woronora Heights,Woronora Heights,Sutherland - Menai - Heathcote,Sydney - Sutherland,1
Chisholm,2322,NSW,Tarro,Beresfield - Hexham,Newcastle,Newcastle and Lake Macquarie,1
Middleton Grange,2171,NSW,Prestons,Prestons,Liverpool,Sydney - South West,1
Bells Bridge,4570,QLD,Kanigan,Maryborough Surrounds - South,Maryborough,Wide Bay,5
Cudgen,2487,NSW,Kings Forest,Pottsville,Tweed Valley,Richmond - Tweed,1
Glenrock,4605,QLD,Manyung,Kilkivan,Gympie - Cooloola,Wide Bay,5
Lake Wendouree,3350,VIC,Redan,Sebastopol - Redan,Ballarat,Ballarat,2
Richardson,2905,ACT,Theodore (ACT),Theodore,Tuggeranong,Australian Capital Territory,1
Robertson,4109,QLD,Sunnybank Hills,Sunnybank Hills,Sunnybank,Brisbane - South,1
Hillcrest,4118,QLD,Heritage Park,Regents Park - Heritage Park,Browns Plains,Logan - Beaudesert,1
Summer Hill,2130,NSW,Summer Hill (Inner West - NSW),Ashfield - South,Strathfield - Burwood - Ashfield,Sydney - Inner West,1
Murgheboluc,3218,VIC,Fyansford,North Geelong - Bell Park,Geelong,Geelong,4
Magill,5072,SA,Magill,Rostrevor - Magill,Campbelltown (SA),Adelaide - Central and Hills,1
North Perth,6006,WA,North Perth,North Perth,Perth City,Perth - Inner,1
Seven Hills,4170,QLD,Norman Park,Norman Park,Brisbane Inner - East,Brisbane Inner City,1
Bayview Heights,4868,QLD,Woree,Woree,Cairns - South,Cairns,2
Bundaberg East,4670,QLD,Walkervale,Walkervale - Avenell Heights,Burnett,Wide Bay,2
Murrumbateman,2582,NSW,Yass River,Yass Surrounds,Tumut - Tumbarumba,Riverina,5
Scoresby,3179,VIC,Scoresby,Knoxfield - Scoresby,Knox,Melbourne - Outer East,1
Albion Park,2527,NSW,Yellow Rock (Shellharbour - NSW),Robertson - Fitzroy Falls,Southern Highlands,Southern Highlands and Shoalhaven,1
Alderley,4051,QLD,Enoggera,Ashgrove,Brisbane Inner - West,Brisbane Inner City,1
Nords Wharf,2281,NSW,Swansea (NSW),Swansea - Caves Beach,Lake Macquarie - East,Newcastle and Lake Macquarie,2
Embleton,6062,WA,Noranda,Noranda,Stirling,Perth - North West,1
Aramara,4620,QLD,Woocoo,Maryborough Surrounds - South,Maryborough,Wide Bay,5
Cashmere,4500,QLD,Brendale,Strathpine - Brendale,Strathpine,Moreton Bay - South,1
Kingsville,3012,VIC,West Footscray,West Footscray - Tottenham,Maribyrnong,Melbourne - West,1
Macksville,2447,NSW,Wirrimbi,Nambucca Heads Surrounds,Kempsey - Nambucca,Mid North Coast,4
Moore Park Beach,4670,QLD,Walkervale,Walkervale - Avenell Heights,Burnett,Wide Bay,2
Yabulu,4818,QLD,Deeragun,Deeragun - Jensen,Townsville,Townsville,2
Westbury,7303,TAS,Selbourne,Westbury,Meander Valley - West Tamar,Launceston and North East,5
Mckinnon,3204,VIC,Bentleigh East,Bentleigh East - South,Glen Eira,Melbourne - Inner South,1
Figtree,2525,NSW,Figtree,Figtree - Keiraville,Wollongong,Illawarra,1
Porepunkah,3740,VIC,Wandiligong,Bright - Mount Beauty,Wodonga - Alpine,Hume,5
West Ryde,2114,NSW,Denistone,Denistone,Ryde - Hunters Hill,Sydney - Ryde,1
Seacombe Gardens,5047,SA,Darlington (SA),Flagstaff Hill,Onkaparinga,Adelaide - South,1
Kangaroo Point,4169,QLD,East Brisbane,East Brisbane,Brisbane Inner - East,Brisbane Inner City,1
Bundamba,4304,QLD,Booval,Ipswich - East,Ipswich Inner,Ipswich,1
Glandore,5037,SA,Netley,Plympton,West Torrens,Adelaide - West,1
Malvern,3144,VIC,Malvern (Vic.),Malvern - Glen Iris,Stonnington - East,Melbourne - Inner South,1
Glass House Mountains,4518,QLD,Glass House Mountains,Glass House Mountains,Sunshine Coast Hinterland,Sunshine Coast,2
Chevallum,4555,QLD,Palmwoods (Qld),Palmwoods,Sunshine Coast Hinterland,Sunshine Coast,2
Stanwell Park,2508,NSW,Coalcliff,Thirroul - Austinmer - Coalcliff,Wollongong,Illawarra,1
Diamond Creek,3089,VIC,Diamond Creek,Wattle Glen - Diamond Creek,Nillumbik - Kinglake,Melbourne - North East,1
Exmouth,6707,WA,Exmouth,Exmouth,Gascoyne,Western Australia - Outback,7
Lammermoor,4703,QLD,Lammermoor,Yeppoon,Rockhampton,Fitzroy,3
Karalee,4306,QLD,Ripley,Ripley,Burnett,Wide Bay,1
Thirroul,2515,NSW,Thirroul,Thirroul - Austinmer - Coalcliff,Wollongong,Illawarra,1
Hobartville,2753,NSW,Agnes Banks,Yarramundi - Londonderry,Richmond - Windsor,Sydney - Outer West and Blue Mountains,1
Sunset Beach,6530,WA,Houtman Abrolhos,Northampton - Mullewa - Greenough,Mid West,Western Australia - Outback,3
Wareemba,2046,NSW,Chiswick,Five Dock - Abbotsford,Strathfield - Burwood - Ashfield,Sydney - Inner West,1
Roselands,2196,NSW,Wiley Park,Wiley Park,Canterbury,Sydney - Inner South West,1
Wulguru,4811,QLD,Stuart (Qld),Wulguru - Roseneath,Townsville,Townsville,2
Binna Burra,2479,NSW,Bangalow,Bangalow,Richmond Valley - Coastal,Richmond - Tweed,5
Rosetta,7010,TAS,Montrose (Tas.),Montrose - Rosetta,Hobart - North West,Hobart,2
Seacliff Park,5049,SA,Marino,Marino - Seaview Downs,Marion,Adelaide - South,1
Clifton Grove,2800,NSW,Kangaroobie,Orange Surrounds,Orange,Central West,3
Woolooga,4570,QLD,Kanigan,Maryborough Surrounds - South,Maryborough,Wide Bay,5
Killarney Vale,2261,NSW,Tuggerah,Tuggerah - Kangy Angy,Wyong,Central Coast,1
Norwood,5067,SA,Norwood (SA),Norwood (SA),Norwood - Payneham - St Peters,Adelaide - Central and Hills,1
Lake Cathie,2445,NSW,Lake Innes,Wauchope,Port Macquarie,Mid North Coast,3
Black Hill,3350,VIC,Redan,Sebastopol - Redan,Ballarat,Ballarat,2
Glenwood,4570,QLD,Kanigan,Maryborough Surrounds - South,Maryborough,Wide Bay,5
North Lakes,4509,QLD,North Lakes,North Lakes,North Lakes,Moreton Bay - South,1
Tomewin,2484,NSW,Urliup,Tweed Heads,Gold Coast Hinterland,Gold Coast,2
Tallangatta,3700,VIC,Tallangatta Valley,Towong,Wodonga - Alpine,Hume,5
Guildford,2161,NSW,Yennora,Yennora Industrial,Merrylands - Guildford,Sydney - Parramatta,1
Condell Park,2200,NSW,Punchbowl (Canterbury-Bankstown - NSW),Punchbowl,Canterbury,Sydney - Inner South West,1
Dover,7117,TAS,Dover,Geeveston - Dover,Huon - Bruny Island,South East,5
Bohle Plains,4817,QLD,Hervey Range,Northern Beaches,Townsville,Townsville,2
Anglesea,3230,VIC,Anglesea,Lorne - Anglesea,Surf Coast - Bellarine Peninsula,Geelong,5
Alexandra,3714,VIC,Alexandra (Vic.),Alexandra,Upper Goulburn Valley,Hume,5
Anstead,4070,QLD,Pullenvale,Pinjarra Hills - Pullenvale,Ipswich Inner,Ipswich,1
Eatons Hill,4037,QLD,Eatons Hill,Eatons Hill,Hills District,Moreton Bay - South,1
Dennington,3280,VIC,Warrnambool,Warrnambool - South,Warrnambool - Otway Ranges,Warrnambool and South West,3
Telarah,2320,NSW,Wallalong,Seaham - Woodville,Port Stephens,Hunter Valley exc Newcastle,1
Bexhill,2480,NSW,Dunoon,Lismore Surrounds,Richmond Valley - Hinterland,Richmond - Tweed,3
Gorokan,2263,NSW,Woongarrah,Warnervale - Wadalba,Wyong,Central Coast,1
Port Noarlunga,5167,SA,Port Noarlunga South,Seaford - Seaford Meadows,Onkaparinga,Adelaide - South,1
Leeming,6149,WA,Leeming,Leeming,Melville,Perth - South West,1
Campbellfield,3061,VIC,Campbellfield,Campbellfield - Coolaroo,Tullamarine - Broadmeadows,Melbourne - North West,1
Atwell,6164,WA,Leeming,Jandakot,Cockburn,Perth - South West,1
North Tamworth,2340,NSW,Moore Creek,Tamworth Surrounds,Tamworth - Gunnedah,New England and North West,3
Eerwah Vale,4562,QLD,Weyba Downs,Noosa Hinterland,Sunshine Coast Hinterland,Sunshine Coast,2
Woodford,3281,VIC,Bushfield,Warrnambool - North,Warrnambool - Otway Ranges,Warrnambool and South West,3
Whyalla,5600,SA,Whyalla,Whyalla,Outback - North and East,South Australia - Outback,3
Buff Point,2262,NSW,Doyalson North,Lake Munmorah - Mannering Park,Wyong,Central Coast,1
Mays Hill,2145,NSW,Merrylands,Wentworthville - Westmead,Parramatta,Sydney - Parramatta,1
Bowen Hills,4006,QLD,Bowen Hills,Newstead - Bowen Hills,Brisbane Inner - North,Brisbane Inner City,1
Ivanhoe East,3079,VIC,Ivanhoe East,Ivanhoe East - Eaglemont,Banyule,Melbourne - North East,1
Girraween,836,NT,Lambells Lagoon,Humpty Doo,Litchfield,Darwin,2
South Perth,6151,WA,South Perth,South Perth - Kensington,South Perth,Perth - South East,1
Manly,4179,QLD,Manly West,Wynnum,Wynnum - Manly,Brisbane - East,1
Appletree Flat,2330,NSW,Womerah,Bilpin - Colo - St Albans,Hawkesbury,Sydney - Baulkham Hills and Hawkesbury,5
Meroo Meadow,2540,NSW,Jervis Bay,Jervis Bay,Jervis Bay,Other Territories,3
Yorkeys Knob,4878,QLD,Yorkeys Knob,Yorkeys Knob - Machans Beach,Cairns - North,Cairns,2
Longueville,2066,NSW,Lane Cove,Lane Cove,Chatswood - Lane Cove,Sydney - North Sydney and Hornsby,1
Tinbeerwah,4563,QLD,Carters Ridge,Gympie Surrounds,Gympie - Cooloola,Wide Bay,2
Mundaring,6073,WA,Mundaring,Mundaring,Mundaring,Perth - North East,1
Avondale Heights,3034,VIC,Avondale Heights,Avondale Heights,Keilor,Melbourne - North West,1
Silkstone,4304,QLD,Booval,Ipswich - East,Ipswich Inner,Ipswich,1
Castle Cove,2069,NSW,Roseville,Lindfield - Roseville,Ku-ring-gai,Sydney - North Sydney and Hornsby,1
Sebastian,3556,VIC,Sebastian,Bendigo Surrounds - North,Loddon - Elmore,Bendigo,2
Newport,2106,NSW,Newport (NSW),Newport - Bilgola,Pittwater,Sydney - Northern Beaches,1
Turner,2612,ACT,Reid (ACT),Reid,North Canberra,Australian Capital Territory,1
Wongawallan,4210,QLD,Maudsland,Upper Coomera (South) - Wongawallan,Ormeau - Oxenford,Gold Coast,1
Torrensville,5031,SA,Torrensville,Richmond (SA),West Torrens,Adelaide - West,1
East Warburton,3799,VIC,East Warburton,Yarra Valley,Yarra Ranges,Melbourne - Outer East,5
Muswellbrook,2333,NSW,Merriwa (NSW),Scone Surrounds,Upper Hunter,Hunter Valley exc Newcastle,4
Pittsworth,4356,QLD,Pittsworth,Pittsworth,Darling Downs - East,Darling Downs - Maranoa,5
Blind Bight,3980,VIC,Warneet,Pearcedale - Tooradin,Casey - South,Melbourne - South East,1
Greenwith,5125,SA,Wynn Vale,Modbury Heights,Tea Tree Gully,Adelaide - North,1
Hampton East,3188,VIC,Sandringham (Vic.),Sandringham - Black Rock,Bayside,Melbourne - Inner South,1
Aberdeen,2336,NSW,Upper Dartbrook,Scone Surrounds,Upper Hunter,Hunter Valley exc Newcastle,5
Nirimba Fields,2763,NSW,Nirimba Fields,Schofields (West) - Colebee,Blacktown - North,Sydney - Blacktown,1
