nb_suburb,nb_postcode,nb_state,SA1,SA2,SA3,SA4,Median total income($)
Doncaster East,3109,VIC,Doncaster East,Doncaster East - South,Manningham - East,Melbourne - Outer East,45363
Donnybrook,3064,VIC,Roxburgh Park,Roxburgh Park - North,Tullamarine - Broadmeadows,Melbourne - North West,41881
Donnybrook,6239,WA,Donnybrook (WA),Donnybrook - Balingup,Manjimup,Bunbury,41881
Donvale,3111,VIC,Donvale,Warrandyte - Wonga Park,Manningham - East,Melbourne - Outer East,52567
Doolandella,4077,QLD,Inala,Forest Lake - Ellen Grove,Forest Lake - Oxley,Ipswich,49156
Doonan,4562,QLD,Weyba Downs,Noosa Hinterland,Sunshine Coast Hinterland,Sunshine Coast,40780
Doonside,2767,NSW,Rooty Hill,Rooty Hill - Minchinbury,Mount Druitt,Sydney - Blacktown,54832
Doreen,3754,VIC,Mernda,Mernda - South,Whittlesea - Wallan,Melbourne - North East,51562
Double Bay,2028,NSW,Double Bay,Double Bay - Darling Point,Eastern Suburbs - North,Sydney - Eastern Suburbs,73196
Doubleview,6018,WA,Woodlands (WA),Wembley Downs - Churchlands - Woodlands,Stirling,Perth - North West,66228
Douglas,4814,QLD,Mundingburra,Mundingburra,Townsville,Townsville,41055
Douglas Park,2569,NSW,Wilton (NSW),Douglas Park - Appin,Wollondilly,Sydney - Outer South West,61453
Dover,7117,TAS,Dover,Geeveston - Dover,Huon - Bruny Island,South East,70842
Dover Gardens,5048,SA,Dover Gardens,Warradale,Marion,Adelaide - South,50972
Dover Heights,2030,NSW,Watsons Bay,Rose Bay - Vaucluse - Watsons Bay,Eastern Suburbs - North,Sydney - Eastern Suburbs,70842
Drayton,4350,QLD,Cranley,Wilsonton,Toowoomba,Toowoomba,47899
Driver,830,NT,Woodroffe,Woodroffe,Palmerston,Darwin,61050
Dromana,3936,VIC,Dromana,Dromana,Mornington Peninsula,Mornington Peninsula,45157
Drouin,3818,VIC,Torwood,Warragul,Baw Baw,Latrobe - Gippsland,48380
Drummoyne,2047,NSW,Drummoyne,Drummoyne - Rodd Point,Canada Bay,Sydney - Inner West,71862
Dubbo,2830,NSW,Kickabil,Gilgandra,Dubbo,Far West and Orana,48971
Duck Ponds,5607,SA,Tiatukia,Port Lincoln,Eyre Peninsula and South West,South Australia - Outback,47859
Dudley Park,6210,WA,Dudley Park (WA),Mandurah - South,Mandurah,Mandurah,45012
Dulwich Hill,2203,NSW,Dulwich Hill,Dulwich Hill - Lewisham,Strathfield - Burwood - Ashfield,Sydney - Inner West,68495
Duncraig,6023,WA,Sorrento (WA),Duncraig,Joondalup,Perth - North West,59237
Dundas,2117,NSW,Oatlands (NSW),North Parramatta,Parramatta,Sydney - Parramatta,50405
Dundas Valley,2117,NSW,Oatlands (NSW),North Parramatta,Parramatta,Sydney - Parramatta,50405
Dungay,2484,NSW,Urliup,Tweed Heads,Gold Coast Hinterland,Gold Coast,42239
Dunsborough,6281,WA,Dunsborough,Busselton Surrounds,Augusta - Margaret River - Busselton,Bunbury,45285
Dunwich,4183,QLD,Point Lookout,North Stradbroke Island,Cleveland - Stradbroke,Brisbane - East,52684
Durack,830,NT,Woodroffe,Woodroffe,Palmerston,Darwin,45074
Durack,4077,QLD,Inala,Forest Lake - Ellen Grove,Forest Lake - Oxley,Ipswich,45074
Dural,2158,NSW,Dural (Hornsby - NSW),Dural - Kenthurst - Wisemans Ferry,Dural - Wisemans Ferry,Sydney - Baulkham Hills and Hawkesbury,55326
Dutton Park,4102,QLD,Woolloongabba,East Brisbane,Brisbane Inner - East,Brisbane Inner City,53956
Eagle Vale,2558,NSW,Gregory Hills,Claymore - Eagle Vale - Raby,Campbelltown (NSW),Sydney - Outer South West,55330
Eagleby,4207,QLD,Edens Landing,Bethania - Waterford,Loganlea - Carbrook,Logan - Beaudesert,45129
Earlville,4870,QLD,Whitfield (Qld),Whitfield - Edge Hill,Cairns - South,Cairns,51217
Earlwood,2206,NSW,Earlwood,Earlwood,Strathfield - Burwood - Ashfield,Sydney - Inner West,51126
East Albury,2640,NSW,Welaregang,Tumbarumba,Wodonga - Alpine,Hume,45354
East Ballina,2478,NSW,Skennars Head,Lennox Head - Skennars Head,Richmond Valley - Coastal,Richmond - Tweed,47403
East Brisbane,4169,QLD,East Brisbane,East Brisbane,Brisbane Inner - East,Brisbane Inner City,54186
East Cannington,6107,WA,Wattle Grove (WA),Forrestfield - Wattle Grove,Kalamunda,Perth - South East,56199
East Corrimal,2518,NSW,East Corrimal,Corrimal - Tarrawanna - Bellambi,Wollongong,Illawarra,53973
East Devonport,7310,TAS,Lillico (Tas.),Turners Beach - Forth,Devonport,West and North West,38954
East Fremantle,6158,WA,East Fremantle,East Fremantle,Fremantle,Perth - South West,66721
East Geelong,3219,VIC,Newcomb,Newcomb - Moolap,Geelong,Geelong,46478
East Gosford,2250,NSW,Wrights Creek (NSW),Bilpin - Colo - St Albans,Hawkesbury,Sydney - Baulkham Hills and Hawkesbury,47184
East Gresford,2311,NSW,Gresford,Dungog,Lower Hunter,Hunter Valley exc Newcastle,46194
East Hills,2213,NSW,Panania,Panania (South) - Picnic Point,Bankstown,Sydney - Inner South West,47325
East Ipswich,4305,QLD,Raceview,Ripley,Ipswich Inner,Ipswich,54330
East Jindabyne,2627,NSW,Pilot Wilderness,Tumbarumba,Tumut - Tumbarumba,Riverina,45354
East Kempsey,2440,NSW,Wollomombi,Armidale Surrounds - North,Armidale,New England and North West,32110
East Killara,2071,NSW,Lindfield,Lindfield - Roseville,Ku-ring-gai,Sydney - North Sydney and Hornsby,65475
East Lindfield,2070,NSW,Lindfield,Lindfield - Roseville,Ku-ring-gai,Sydney - North Sydney and Hornsby,65475
East Lismore,2480,NSW,Dunoon,Lismore Surrounds,Richmond Valley - Hinterland,Richmond - Tweed,41076
East Mackay,4740,QLD,West Mackay,West Mackay,Mackay,Mackay,62412
East Maitland,2323,NSW,Freemans Waterhole,Morisset - Cooranbong,Lake Macquarie - West,Newcastle and Lake Macquarie,46655
East Melbourne,3002,VIC,East Melbourne,East Melbourne,Melbourne City,Melbourne - Inner,77804
East Perth,6004,WA,Mount Lawley,East Perth,Perth City,Perth - Inner,61736
East Ryde,2113,NSW,Ryde,Ryde - North,Ryde - Hunters Hill,Sydney - Ryde,60755
East Side,870,NT,White Gums,Ross,Alice Springs,Northern Territory - Outback,63885
East Toowoomba,4350,QLD,Cranley,Wilsonton,Toowoomba,Toowoomba,47625
East Victoria Park,6101,WA,St James (WA),Bentley - Wilson - St James,Belmont - Victoria Park,Perth - South East,57391
East Warburton,3799,VIC,East Warburton,Yarra Valley,Yarra Ranges,Melbourne - Outer East,46874
Eastern Creek,2766,NSW,Rooty Hill,Rooty Hill - Minchinbury,Mount Druitt,Sydney - Blacktown,55162
Eastern Heights,4305,QLD,Raceview,Ripley,Ipswich Inner,Ipswich,54330
Eastgardens,2036,NSW,Matraville,Matraville - Chifley,Eastern Suburbs - South,Sydney - Eastern Suburbs,63698
Eastlakes,2018,NSW,Rosebery (NSW),Rosebery - Beaconsfield,Sydney Inner City,Sydney - City and Inner South,59807
Eastwood,2122,NSW,Eastwood (NSW),Eastwood,Ryde - Hunters Hill,Sydney - Ryde,57044
Eastwood,3875,VIC,Raymond Island,Paynesville,Wellington,Latrobe - Gippsland,37891
Eastwood,5000,SA,Adelaide,Adelaide,Adelaide City,Adelaide - Central and Hills,42932
Eaton,6232,WA,Eaton (WA),Eaton - Pelican Point,Bunbury,Bunbury,62143
Eatons Hill,4037,QLD,Eatons Hill,Eatons Hill,Hills District,Moreton Bay - South,62143
Ebenezer,2756,NSW,Bligh Park,Windsor - Bligh Park,Richmond - Windsor,Sydney - Outer West and Blue Mountains,56404
Echuca,3564,VIC,Terrick Terrick East,Lockington - Gunbower,Campaspe,Shepparton,47359
Echunga,5153,SA,Strathalbyn (SA),Strathalbyn,Fleurieu - Kangaroo Island,South Australia - South East,50320
Eden,2551,NSW,Eden,Eden,South Coast,Capital Region,36508
Eden Hill,6054,WA,Kiara,Lockridge - Kiara,Swan,Perth - North East,58512
Edens Landing,4207,QLD,Edens Landing,Bethania - Waterford,Loganlea - Carbrook,Logan - Beaudesert,51797
Edensor Park,2176,NSW,Wakeley,St Johns Park - Wakeley,Fairfield,Sydney - South West,50189
Edge Hill,4870,QLD,Whitfield (Qld),Whitfield - Edge Hill,Cairns - South,Cairns,53353
Edgecliff,2027,NSW,Darling Point,Double Bay - Darling Point,Eastern Suburbs - North,Sydney - Eastern Suburbs,73196
Edgewater,6027,WA,Ocean Reef,Ocean Reef,Wanneroo,Perth - North West,53002
Edgeworth,2285,NSW,Wallsend,Wallsend - Elermore Vale,Newcastle,Newcastle and Lake Macquarie,56676
Edithvale,3196,VIC,Edithvale,Edithvale - Aspendale,Kingston,Melbourne - Inner South,61332
Edmondson Park,2174,NSW,Edmondson Park,Edmondson Park,Liverpool,Sydney - South West,54297
Edmonton,4869,QLD,Wrights Creek (Qld),Gordonvale - Trinity,Cairns - South,Cairns,52592
Eerwah Vale,4562,QLD,Weyba Downs,Noosa Hinterland,Sunshine Coast Hinterland,Sunshine Coast,40780
Eglinton,6034,WA,Eglinton (WA),Alkimos - Eglinton,Wanneroo,Perth - North West,60425
Eight Mile Plains,4113,QLD,Runcorn,Runcorn,Sunnybank,Brisbane - South,43988
Elanora,4221,QLD,Palm Beach (Qld),Palm Beach,Mudgeeraba - Tallebudgera,Gold Coast,56934
Elanora Heights,2101,NSW,Narrabeen,Narrabeen - Wheeler Heights,Warringah,Sydney - Northern Beaches,56934
Elderslie,2570,NSW,Oran Park,Oran Park,Bringelly - Green Valley,Sydney - South West,55064
Eleebana,2282,NSW,Warners Bay,Warners Bay - Boolaroo,Lake Macquarie - East,Newcastle and Lake Macquarie,57490
Elermore Vale,2287,NSW,Wallsend,Wallsend - Elermore Vale,Newcastle,Newcastle and Lake Macquarie,51920
Eli Waters,4655,QLD,Walkers Point,Maryborough Surrounds - South,Maryborough,Wide Bay,42590
Elimbah,4516,QLD,Elimbah,Elimbah,Caboolture,Moreton Bay - North,50752
Elizabeth Bay,2011,NSW,Potts Point,Sydney (North) - Millers Point,Sydney Inner City,Sydney - City and Inner South,59807
Elizabeth East,5112,SA,Hillbank,Elizabeth East,Playford,Adelaide - North,47964
Elizabeth Grove,5112,SA,Hillbank,Elizabeth East,Playford,Adelaide - North,47964
Elizabeth Hills,2171,NSW,Prestons,Prestons,Liverpool,Sydney - South West,54297
Elizabeth North,5113,SA,Elizabeth Downs,Smithfield - Elizabeth North,Playford,Adelaide - North,43120
Elizabeth South,5112,SA,Hillbank,Elizabeth East,Playford,Adelaide - North,47964
Ellalong,2325,NSW,Putty,Singleton Surrounds,Lower Hunter,Hunter Valley exc Newcastle,52543
Ellangowan,2470,NSW,Spring Grove,Lismore Surrounds,Richmond Valley - Hinterland,Richmond - Tweed,41076
Ellen Grove,4078,QLD,Forest Lake,Forest Lake - Ellen Grove,Forest Lake - Oxley,Ipswich,49156
Ellenbrook,6069,WA,Ellenbrook,Ellenbrook,Swan,Perth - North East,55909
Elliminyt,3250,VIC,Yeo,Colac Surrounds,Warrnambool - Otway Ranges,Warrnambool and South West,43952
Elsternwick,3185,VIC,Elsternwick,Elsternwick,Glen Eira,Melbourne - Inner South,64851
Eltham,3095,VIC,Research,Research - North Warrandyte,Nillumbik - Kinglake,Melbourne - North East,60025
Eltham North,3095,VIC,Research,Research - North Warrandyte,Nillumbik - Kinglake,Melbourne - North East,58942
Elwood,3184,VIC,St Kilda (Vic.),St Kilda - West,Port Phillip,Melbourne - Inner,70277
elwood ,3184,VIC,St Kilda (Vic.),St Kilda - West,Port Phillip,Melbourne - Inner,65818
Embleton,6062,WA,Noranda,Noranda,Stirling,Perth - North West,60592
Emerald,3782,VIC,Avonsleigh,Emerald - Cockatoo,Cardinia,Melbourne - South East,47195
Emerald Beach,2456,NSW,Arrawarra,Woolgoolga - Arrawarra,Coffs Harbour,Coffs Harbour - Grafton,47195
Emu Park,4710,QLD,Tanby,Rockhampton Surrounds - East,Rockhampton,Fitzroy,49702
Emu Plains,2750,NSW,Penrith,Cranebrook - Castlereagh,Penrith,Sydney - Outer West and Blue Mountains,61474
Encounter Bay,5211,SA,Willow Creek,Yankalilla,Fleurieu - Kangaroo Island,South Australia - South East,38276
Endeavour Hills,3802,VIC,Endeavour Hills,Endeavour Hills - South,Casey - North,Melbourne - South East,49393
Enfield,3352,VIC,Werneth,Corangamite - North,Warrnambool - Otway Ranges,Warrnambool and South West,54704
Enfield,5085,SA,Northfield,Northgate - Northfield,Port Adelaide - East,Adelaide - North,54704
Engadine,2233,NSW,Woronora Heights,Woronora Heights,Sutherland - Menai - Heathcote,Sydney - Sutherland,60914
Enmore,2042,NSW,Newtown (NSW),Newtown (NSW),Sydney Inner City,Sydney - City and Inner South,62971
Enoggera,4051,QLD,Enoggera,Ashgrove,Brisbane Inner - West,Brisbane Inner City,63199
Epping,2121,NSW,Epping (NSW),Eastwood,Ryde - Hunters Hill,Sydney - Ryde,56759
Epping,3076,VIC,Lalor,Lalor - West,Whittlesea - Wallan,Melbourne - North East,56759
Epsom,3551,VIC,Toolleen,Rushworth,Campaspe,Shepparton,39808
Erina,2250,NSW,Wrights Creek (NSW),Bilpin - Colo - St Albans,Hawkesbury,Sydney - Baulkham Hills and Hawkesbury,50317
Erina Heights,2260,NSW,Forresters Beach,Wamberal - Forresters Beach,Wyong,Central Coast,53015
Ermington,2115,NSW,Ermington,Ermington - Rydalmere,Carlingford,Sydney - Parramatta,53677
Erskine Park,2759,NSW,St Clair (Penrith - NSW),St Clair,St Marys,Sydney - Outer West and Blue Mountains,59719
Erskineville,2043,NSW,Erskineville,Erskineville - Alexandria,Sydney Inner City,Sydney - City and Inner South,83036
Eschol Park,2558,NSW,Gregory Hills,Claymore - Eagle Vale - Raby,Campbelltown (NSW),Sydney - Outer South West,55330
Essendon,3040,VIC,Essendon West,Niddrie - Essendon West,Keilor,Melbourne - North West,62305
Essendon North,3041,VIC,Strathmore (Vic.),Strathmore,Moreland - North,Melbourne - North West,62589
Ettalong Beach,2257,NSW,Umina Beach,Umina - Booker Bay - Patonga,Gosford,Central Coast,47126
Eudlo,4554,QLD,Ilkley,Palmwoods,Sunshine Coast Hinterland,Sunshine Coast,45583
Eumundi,4562,QLD,Weyba Downs,Noosa Hinterland,Sunshine Coast Hinterland,Sunshine Coast,46372
Eureka,3350,VIC,Redan,Sebastopol - Redan,Ballarat,Ballarat,49070
Evans Head,2473,NSW,Evans Head,Evans Head,Richmond Valley - Coastal,Richmond - Tweed,42871
Evanston,5116,SA,Evanston Park,One Tree Hill,Playford,Adelaide - North,51973
Evanston Gardens,5116,SA,Evanston Park,One Tree Hill,Playford,Adelaide - North,51973
Evanston Park,5116,SA,Evanston Park,One Tree Hill,Playford,Adelaide - North,51973
Evanston South,5116,SA,Evanston Park,One Tree Hill,Playford,Adelaide - North,51973
Everard Park,5035,SA,Mile End South,Richmond (SA),West Torrens,Adelaide - West,50425
Everton Hills,4053,QLD,Everton Hills,The Hills District,Hills District,Moreton Bay - South,60179
Everton Park,4053,QLD,Everton Hills,The Hills District,Hills District,Moreton Bay - South,59192
Ewingsdale,2481,NSW,Myocum,Mullumbimby,Richmond Valley - Coastal,Richmond - Tweed,32532
Exeter,2579,NSW,Wingello,Southern Highlands,Southern Highlands,Southern Highlands and Shoalhaven,46849
Exmouth,6707,WA,Exmouth,Exmouth,Gascoyne,Western Australia - Outback,46764
Eynesbury,3338,VIC,Wyndham Vale,Wyndham Vale - North,Wyndham,Melbourne - West,52130
Fadden,2904,ACT,Monash (ACT),Monash,Tuggeranong,Australian Capital Territory,74856
Fairfield,2165,NSW,Wakeley,St Johns Park - Wakeley,Fairfield,Sydney - South West,45882
Fairfield,3078,VIC,Fairfield (Vic.),Clifton Hill - Alphington,Yarra,Melbourne - Inner,45882
Fairfield,4103,QLD,Tarragindi,Tarragindi,Nathan,Brisbane - South,45882
Fairfield East,2165,NSW,Wakeley,St Johns Park - Wakeley,Fairfield,Sydney - South West,47632
Fairfield Heights,2165,NSW,Wakeley,St Johns Park - Wakeley,Fairfield,Sydney - South West,47632
Fairfield West,2165,NSW,Wakeley,St Johns Park - Wakeley,Fairfield,Sydney - South West,47632
Fairlight,2094,NSW,Fairlight,Manly - Fairlight,Manly,Sydney - Northern Beaches,74002
Fairlight,2095,NSW,Manly (NSW),Manly - Fairlight,Manly,Sydney - Northern Beaches,74002
Fairy Hill,2470,NSW,Spring Grove,Lismore Surrounds,Richmond Valley - Hinterland,Richmond - Tweed,41076
Fairy Meadow,2519,NSW,Mount Pleasant (NSW),Balgownie - Fairy Meadow,Wollongong,Illawarra,51966
Falcon,6210,WA,Dudley Park (WA),Mandurah - South,Mandurah,Mandurah,48173
Farley,2320,NSW,Wallalong,Seaham - Woodville,Port Stephens,Hunter Valley exc Newcastle,53583
Farrer,2607,ACT,Torrens,Torrens,Woden,Australian Capital Territory,66978
Fawkner,3060,VIC,Fawkner,Campbellfield - Coolaroo,Tullamarine - Broadmeadows,Melbourne - North West,43312
Federal,2480,NSW,Dunoon,Lismore Surrounds,Richmond Valley - Hinterland,Richmond - Tweed,41076
Federal,4568,QLD,Pomona (Qld),Noosa Hinterland,Nambour - Pomona,Sunshine Coast,40780
Fentonbury,7140,TAS,West Coast,West Coast (Tas.),West Coast,West and North West,47335
Fern Bay,2295,NSW,Fern Bay,Stockton - Fullerton Cove,Newcastle,Newcastle and Lake Macquarie,54577
Fern Tree,7054,TAS,Wellington Park,Derwent Valley,Huon - Bruny Island,South East,50638
Ferntree Gully,3156,VIC,Lysterfield South,Endeavour Hills - North,Casey - North,Melbourne - South East,52898
Ferny Grove,4055,QLD,Ferny Hills,The Hills District,Hills District,Moreton Bay - South,64497
Ferny Hills,4055,QLD,Ferny Hills,The Hills District,Hills District,Moreton Bay - South,60179
Ferryden Park,5010,SA,Angle Park,The Parks,Port Adelaide - West,Adelaide - West,44116
Fig Tree Pocket,4069,QLD,Pullenvale,Pinjarra Hills - Pullenvale,Ipswich Inner,Ipswich,71806
Figtree,2525,NSW,Figtree,Figtree - Keiraville,Wollongong,Illawarra,51943
Findon,5023,SA,Seaton (SA),Seaton - Grange,Charles Sturt,Adelaide - West,51982
Finley,2713,NSW,Finley,Tocumwal - Finley - Jerilderie,Upper Murray exc. Albury,Murray,40667
Firle,5070,SA,Marden,St Peters - Marden,Port Adelaide - East,Adelaide - North,58379
Fitzgibbon,4018,QLD,Taigum,Taigum - Fitzgibbon,Sandgate,Brisbane - North,52280
Fitzroy,3065,VIC,Fitzroy North,Fitzroy North,Yarra,Melbourne - Inner,46219
Fitzroy North,3068,VIC,Clifton Hill,Clifton Hill - Alphington,Yarra,Melbourne - Inner,67265
Five Dock,2046,NSW,Chiswick,Five Dock - Abbotsford,Strathfield - Burwood - Ashfield,Sydney - Inner West,67196
Flagstaff Hill,5159,SA,Happy Valley (SA),Happy Valley Reservoir,Onkaparinga,Adelaide - South,54694
Flagstone,4280,QLD,Jimboomba,Jimboomba - Glenlogan,Jimboomba,Logan - Beaudesert,53980
Flaxton,4560,QLD,Nambour,Nambour,Sunshine Coast Hinterland,Sunshine Coast,46576
Flemington,3031,VIC,Kensington (Vic.),Kensington (Vic.),Melbourne City,Melbourne - Inner,55880
Fletcher,2287,NSW,Wallsend,Wallsend - Elermore Vale,Newcastle,Newcastle and Lake Macquarie,57119
Flinders Park,5025,SA,Flinders Park,Flinders Park,West Torrens,Adelaide - West,50576
Flinders View,4305,QLD,Raceview,Ripley,Ipswich Inner,Ipswich,54330
Flora Hill,3550,VIC,White Hills (Vic.),White Hills - Ascot,Bendigo,Bendigo,50172
Floraville,2280,NSW,Valentine,Valentine - Eleebana,Lake Macquarie - East,Newcastle and Lake Macquarie,57490
Floreat,6014,WA,Wembley,Wembley - West Leederville - Glendalough,Stirling,Perth - North West,75221
Florey,2615,ACT,Strathnairn,Strathnairn,Cotter - Namadgi,Australian Capital Territory,62077
Flowerpot,7163,TAS,Middleton (Tas.),Bruny Island - Kettering,Huon - Bruny Island,South East,38749
Footscray,3011,VIC,West Footscray,West Footscray - Tottenham,Maribyrnong,Melbourne - West,50830
Forde,2914,ACT,Throsby,Throsby,Gungahlin,Australian Capital Territory,82965
Forest Hill,3131,VIC,Nunawading,Nunawading,Whitehorse - East,Melbourne - Outer East,48184
Forest Hill,4342,QLD,Glenore Grove,Lockyer Valley - East,Toowoomba,Toowoomba,48184
Forest Lake,4078,QLD,Forest Lake,Forest Lake - Ellen Grove,Forest Lake - Oxley,Ipswich,49156
Forest Lodge,2037,NSW,Forest Lodge,Glebe - Forest Lodge,Sydney Inner City,Sydney - City and Inner South,67002
Forestdale,4118,QLD,Heritage Park,Regents Park - Heritage Park,Browns Plains,Logan - Beaudesert,52940
Forestville,2087,NSW,Forestville (NSW),Forestville - Killarney Heights,Warringah,Sydney - Northern Beaches,59273
Forestville,5035,SA,Mile End South,Richmond (SA),West Torrens,Adelaide - West,59273
Forrest,2603,ACT,Red Hill (ACT),Red Hill (ACT),South Canberra,Australian Capital Territory,53015
Forrest Beach,4850,QLD,Forrest Beach (Qld),Ingham Surrounds,Charters Towers - Ayr - Ingham,Townsville,47616
Forrestdale,6112,WA,Piara Waters,Piara Waters - Forrestdale,Gosnells,Perth - South East,51267
Forresters Beach,2260,NSW,Forresters Beach,Wamberal - Forresters Beach,Wyong,Central Coast,53015
Forrestfield,6058,WA,Forrestfield,Forrestfield - Wattle Grove,Kalamunda,Perth - South East,56199
Forster,2428,NSW,Tuncurry,Tuncurry,Great Lakes,Mid North Coast,38236
Fortitude Valley,4006,QLD,Bowen Hills,Newstead - Bowen Hills,Brisbane Inner - North,Brisbane Inner City,50092
Franklin,2913,ACT,Taylor,Taylor,Gungahlin,Australian Capital Territory,37348
Frankston,3199,VIC,Seaford (Vic.),Seaford (Vic.),Mornington Peninsula,Mornington Peninsula,52932
Frankston North,3200,VIC,Frankston North,Frankston North,Frankston,Mornington Peninsula,48248
Frankston South,3199,VIC,Seaford (Vic.),Seaford (Vic.),Mornington Peninsula,Mornington Peninsula,53597
Fraser Rise,3336,VIC,Fraser Rise,Fraser Rise - Plumpton,Melton - Bacchus Marsh,Melbourne - West,41055
Freeling,5372,SA,Freeling,Light,Barossa,Barossa - Yorke - Mid North,50311
Freemans Reach,2756,NSW,Bligh Park,Windsor - Bligh Park,Richmond - Windsor,Sydney - Outer West and Blue Mountains,55945
Fremantle,6160,WA,Fremantle,Fremantle,Fremantle,Perth - South West,59936
Frenchs Forest,2086,NSW,Frenchs Forest,Frenchs Forest - Oxford Falls,Warringah,Sydney - Northern Beaches,59516
